무게,단가,날짜
67953,2670.142857,2010-07-17
0,0,2010-07-18
104808,2158.285714,2010-07-19
153432,2012.857143,2010-07-20
61176,2110.571429,2010-07-21
149667,2099,2010-07-22
57048,3310.285714,2010-07-23
111234,4242.142857,2010-07-24
0,0,2010-07-25
286488,1825.571429,2010-07-26
82602,2674.142857,2010-07-27
0,0,2010-07-28
0,0,2010-07-29
21,285.7142857,2010-07-30
0,0,2010-07-31
0,0,2010-08-01
312246,1701.142857,2010-08-02
187410,1762.714286,2010-08-03
345375,1720.714286,2010-08-04
334404,1865.428571,2010-08-05
414096,1409.571429,2010-08-06
86694,1873,2010-08-07
0,0,2010-08-08
325440,1783.714286,2010-08-09
225654,1934.285714,2010-08-10
103416,1971.857143,2010-08-11
62136,2041.285714,2010-08-12
0,0,2010-08-13
21570,3489,2010-08-14
0,0,2010-08-15
620145,1760,2010-08-16
154554,1863.428571,2010-08-17
418842,2005,2010-08-18
424062,1820.142857,2010-08-19
765444,1692.571429,2010-08-20
733035,2138.285714,2010-08-21
0,0,2010-08-22
1198416,1905,2010-08-23
535290,1893.571429,2010-08-24
13230,2038.142857,2010-08-25
0,0,2010-08-26
846,78.14285714,2010-08-27
0,0,2010-08-28
0,0,2010-08-29
135306,2742.142857,2010-08-30
296322,1981.142857,2010-08-31
465720,2791.428571,2010-09-01
276084,2181.428571,2010-09-02
0,0,2010-09-03
644550,2253.571429,2010-09-04
0,0,2010-09-05
671415,1978.714286,2010-09-06
369780,1897.285714,2010-09-07
107082,2112.142857,2010-09-08
155388,1889.714286,2010-09-09
807018,1984.142857,2010-09-10
1775664,1543.428571,2010-09-11
744522,1726.142857,2010-09-12
331068,1929.142857,2010-09-13
774456,1785.285714,2010-09-14
800694,1854.142857,2010-09-15
977967,1617.142857,2010-09-16
1006668,2398.857143,2010-09-17
376110,1612.285714,2010-09-18
450072,1424.857143,2010-09-19
522426,1345.714286,2010-09-20
114858,1298.714286,2010-09-21
0,0,2010-09-22
0,0,2010-09-23
0,0,2010-09-24
0,0,2010-09-25
0,0,2010-09-26
5634,173.1428571,2010-09-27
535485,1843.285714,2010-09-28
990486,1520.142857,2010-09-29
610326,1562.285714,2010-09-30
